entity_id,original_name,normalized_name,standard_name,frequency,component_size,avg_similarity,min_similarity,needs_review
financial_0,10X FUND L.P.,10X FUND LP,10X FUND,4,2,100.0,100.0,False
financial_0,"10X FUND, LP",10X FUND LP,10X FUND,4,2,100.0,100.0,False
financial_1,"3I, L.P.",3I LP,3I,13,2,100.0,100.0,False
financial_1,"3I, LP",3I LP,3I,8,2,100.0,100.0,False
financial_2,3M INNOOVATIVE PROPERTIES COMPANY,3M INNOOVATIVE PROPERTIES CO,3M INNOVATIVE PROPERTIES CO,1,2,98.18181818181819,98.18181818181819,False
financial_2,3M INNOVATIVE PROPERTIES COMPANY,3M INNOVATIVE PROPERTIES CO,3M INNOVATIVE PROPERTIES CO,6,2,98.18181818181819,98.18181818181819,False
financial_3,US BANK,US BANK,US BANK NA,2,88,94.55918187285924,88.78378378378379,True
financial_3,US BANK NATIONAL ASSOCIATION,US BANK NA,US BANK NA,411,88,94.55918187285924,88.78378378378379,True
financial_3,"US BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",US BANK NA,US BANK NA,77,88,94.55918187285924,88.78378378378379,True
financial_3,"US BANK NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",US BANK NA,US BANK NA,236,88,94.55918187285924,88.78378378378379,True
financial_3,US BANK NATONAL ASSOCIATON F/K/A FBS BUSINESS FINANCE CORPORATION,US BANK NATONAL ASSOCIATON F K A FBS BUSINESS FINANCE CORP,US BANK NA,1,88,94.55918187285924,88.78378378378379,True
financial_3,"US BANK TRUST COMPANY, NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",US BANK TRUST CO NA,US BANK NA,11,88,94.55918187285924,88.78378378378379,True
financial_3,"US BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",US BANK NA,US BANK NA,2,88,94.55918187285924,88.78378378378379,True
financial_3,"U. S. BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",US BANK NA,US BANK NA,316,88,94.55918187285924,88.78378378378379,True
financial_3,"U. S. BANK NATIONAL ASSOSICATION, AS COLLATERAL AGENT",US BANK NATIONAL ASSOSICATION,US BANK NA,3,88,94.55918187285924,88.78378378378379,True
financial_3,U.S BANK NATIONAL ASSOCIATION,US BANK NA,US BANK NA,42,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",US BANK NA,US BANK NA,86,88,94.55918187285924,88.78378378378379,True
financial_3,U.S BANK TRUSTEES LIMITED,US BANK TRUSTEES LTD,US BANK NA,1,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S BANK, NATIONAL ASSOCIATION",US BANK NA,US BANK NA,61,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK GLOBAL CORPORATE TRUST WEST SIDE FLATS, ST. PAUL",US BANK GLOBAL CORPORATE TRUST WEST SIDE FLATS ST PAUL,US BANK NA,4,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK N.A.,US BANK NA,US BANK NA,6,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NA, F/K/A FIRSTAR BANK, SUCCESSOR BY MERGER TO MERCANTILE BANK, NATIONAL ASSOCIATION F/K/A MERCANTILE BANK OF ST. LOUIS NATIONAL ASSOCIATION",US BANK NA F K A FIRSTAR BANK SUCCESSOR BY MERGER TO MERCANTILE BANK NA F K A MERCANTILE BANK OF ST LOUIS NA,US BANK NA,3,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION,US BANK NA,US BANK NA,14130,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION (AS COLLATERAL AGENT FOR FIRST LIEN),US BANK NA FOR FIRST LIEN,US BANK NA,5,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION (AS COLLATERAL AGENT FOR SECOND LIEN),US BANK NA FOR SECOND LIEN,US BANK NA,5,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR IN INTEREST TO WACHOVIA BANK, NATIONAL ASSOCIATION)",US BANK NA AS SUCCESSOR IN INTEREST TO WACHOVIA BANK NA,US BANK NA,518,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR TO STATE STREET BANK AND TRUST COMPANY OF CALIFORNIA, N.A.), AS COLLATERAL TRUSTEE",US BANK NA AS SUCCESSOR TO STATE STREET BANK & TRUST CO OF CALIFORNIA NA,US BANK NA,85,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR TO WACHOVIA BANK, NATIONAL ASSOCIATION), AS COLLATERAL AGENT",US BANK NA AS SUCCESSOR TO WACHOVIA BANK NA,US BANK NA,91,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR TRUSTEE TO FIRSTAR BANK, N.A.)",US BANK NA AS SUCCESSOR TRUSTEE TO FIRSTAR BANK NA,US BANK NA,306,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION (COLLATERAL AGENT),US BANK NA COLLATERAL AGENT,US BANK NA,12,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION (D/B/A FIRST BANK NATIONAL ASSOCIATION),US BANK NA D B A FIRST BANK NA,US BANK NA,1,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NATIONAL ASSOCIATION (F/K/A STAR BANK, N.A)",US BANK NA F K A STAR BANK NA,US BANK NA,1,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION AS COLLATERAL TRUSTEE,US BANK NATIONAL ASSOCIATIONAS COLLATERAL TRUSTEE,US BANK NA,2,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION AS NOTES COLLATERAL AGENT,US BANK NATIONAL ASSOCIATIONAS NOTES COLLATERAL AGENT,US BANK NA,2,88,94.55918187285924,88.78378378378379,True
financial_3,U.S. BANK NATIONAL ASSOCIATION F/K/A FIRST BANK NATIONAL ASSOCIATION,US BANK NA F K A FIRST BANK NA,US BANK NA,3,88,94.55918187285924,88.78378378378379,True
financial_3,"U.S. BANK NATIONAL ASSOCIATION, A NATIONAL BANKING ASSOCIATION",US BANK NA A NATIONAL BANKING ASSOCIATION,US BANK NA,4,88,94.55918187285924,88.78378378378379,True
