ee_name,freq,entity_id,standard_name
"TROUT, JOSH HUDSON",40,financial_2580,TROUT JOSH HUDSON
"WELLS FARGO, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",40,financial_1103,WELLS FARGO BANK NA
WILMINGTON SAVINGS FUND SOCIETY FSB,40,financial_1110,WILMINGTON SAVINGS FUND SOCIETY FSB COLLATERAL AGENT
"ANALOG DEVICES, INC.",39,financial_1499,ANALOG DEVICES INC
"ATV ENTREPRENEURS VII, LP",39,financial_81,ATV ENTREPRENEURS VII
BOSTON SCIENTIFIC CORPORATION,39,financial_2361,BOSTON SCIENTIFIC CORP
COMPUTERSHARE TRUST COMPANY OF CANADA,39,financial_279,COMPUTERSHARE NA
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS SECOND LIEN ADMINISTRATIVE AGENT",39,financial_309,CREDIT SUISSE
"CREDIT SUISSE, SYDNEY BRANCH, AS SECURITY AGENT",39,financial_309,CREDIT SUISSE
"ENABLE GROWTH PARTNERS, LP",39,financial_3661,ENABLE GROWTH PARTNERS LP
"FLEET BANK OF MASSACHUSETTS, N.A.",39,financial_442,FLEET CAPITAL CORP
FREEDOM CHEMICAL COMPANY,39,financial_457,FREEDOM CHEMICAL CO
"LBC CREDIT PARTNERS II, L.P., AS AGENT",39,financial_642,LBC CREDIT PARTNERS III
"MORGAN STANLEY & CO. INCORPORATED, AS COLLATERAL AGENT",39,financial_731,MORGAN STANLEY SENIOR FUNDING
NBD BANK,39,financial_756,NBD BANK NA
SNTC HOLDING INC.,39,financial_966,SNTC HOLDING
ST. PAUL FIRE AND MARINE INSURANCE COMPANY,39,financial_5727,ST PAUL FIRE & MARINE INSURANCE CO
"TOPPING, DANA",39,financial_1863,TOPPING DANA
"VINOD KHOSLA AND NEERU KHOSLA, TRUSTEES OF THE KFT TRUST DATED NOVEMBER 17, 1986",39,financial_2892,VINOD KHOSLA & NEERU KHOSLA TRUSTEES OF THE KFT TRUST DATED NOVEMBER 17 1986
"1538731 ALBERTA LTD., AS AGENT",38,financial_1136,1538731 ALBERTA LTD
BANKBOSTON LEASING INC.,38,financial_5514,BANKBOSTON NA
"CHASE BANK OF TEXAS, N.A., AS ADMINISTRATIVE AGENT",38,financial_231,CHASE MANHATTAN BANK
"CIT GROUP/SALES FINANCING, INC.",38,financial_244,CIT GROUP BUSINESS CREDIT
"CITIBANK, NA",38,financial_251,CITIBANK NA
"DAIWA BANK, LIMITED, THE",38,financial_329,DAIWA BANK
"FLLET CAPITAL CANADA CORPORATION, AS CANADIAN AGENT",38,financial_3843,FLLET CAPITAL CANADA CORP AS CANADIANAGENT
"MERITOR HEAVY VEHICLE SYSTEMS, LLC",38,financial_4910,MERITOR HEAVY VEHICLE SYSTEMS LLC
MIDLANTIC NATIONAL BANK,38,financial_718,MIDLANTIC NATIONAL BANK
NATIONAL CITY BANK OF INDIANA,38,financial_256,NATIONAL BANK
"SCP PRIVATE EQUITY PARTNERS II, L.P.",38,financial_1686,SCP PRIVATE EQUITY PARTNERS II LP
"SOLAR CAPITAL LTD., AS SUCCESSOR AGENT",38,financial_973,SOLAR CAPITAL
"TOLLGRADE COMMUNICATIONS, INC.",38,financial_1858,TOLLGRADE COMMUNICATIONS INC
UNITED NATIONAL BANK,38,financial_2753,UNITED NATIONAL BANK
"WELLS FARGO BANK MINNESOTA, N.A.",38,financial_1103,WELLS FARGO BANK NA
"WHITEBOX DELPHAX, LTD.",38,financial_3124,WHITEBOX DELPHAX LTD
WILMINGTON TRUST COMPANY A DE CORP.,38,financial_1111,WILMINGTON NA
"ARTESYN TECHNOLOGIES, INC",37,financial_1649,ARTESYN TECHNOLOGIES INC
BANCO POPULAR DE PUERTO RICO,37,financial_1814,BANCO POPULAR DE PUERTO RICO
CAPITAL ROYALTY PARTNERS II ? PARALLEL FUND ?A? L.P.,37,financial_206,CAPITAL ROYALTY PARTNERS II
CAPITAL ROYALTY PARTNERS II ? PARALLEL FUND ?B? (CAYMAN) L.P.,37,financial_206,CAPITAL ROYALTY PARTNERS II
"CITICORP USA, INC., AS SECURITY AGENT",37,financial_5518,CITICORP NORTH AMERICA
"DELAWARE TRUST COMPANY, AS COLLATERAL AGENT",37,financial_344,DELAWARE
EUROPEAN AMERICAN BANK,37,financial_3716,EUROPEANAMERICAN BANK
"GELMAN SCIENCES, INC.",37,financial_3941,GELMAN SCIENCES INC
"GOLDMAN SACHS CREDIT PARTNERS L.P., AS SECOND LIEN COLLATERAL AGENT",37,financial_501,GOLDMAN SACHS BANK USA
"GUARDIAN ASSETS, INC.",37,financial_4080,GUARDIANASSETS INC
"GUGGENHEIM CREDIT SERVICES, LLC",37,financial_516,GUGGENHEIM CREDIT SERVICES LLC
"HELLER FINANCIAL, INC., A DE CORP.",37,financial_541,HELLER FINANCIAL
"OXFORD FINANCE LLC, AS COLLATERAL AGENT AND AS LENDER",37,financial_807,OXFORD FINANCE LLC
"PRIVATE EQUITY PARTNERS II, L.P.",37,financial_5702,PRIVATE EQUITY PARTNERS II LP
SIENA FUNDING LLC,37,financial_3790,SIENA FUNDING LLC
"TPG SPECIALTY LENDING, INC.",37,financial_1044,TPG SPECIALTY LENDING
"UNION BANK, AS COLLATERAL AGENT",37,financial_1066,UNION BANK NA
"VENTURE LENDING & LEASING IX, INC.",37,financial_1061,VENTURE LENDING & LEASING IV
"WELLS FARGO, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",37,financial_1103,WELLS FARGO BANK NA
ACACIA PATENT ACQUISITION CORPORATION,36,financial_1203,ACACIA PATENT ACQUISITION CORP
ALLIED CORPORATION,36,financial_1365,ALLIED CORP
AT&T CORP.,36,financial_78,AT & T CORP
BANK OF NEW YORK,36,financial_102,BANK OF NEW YORK MELLON
BAXTER BIOTECH TECHNOLOGY SARL,36,financial_2139,BAXTER BIOTECH TECHNOLOGY SARL
BUTLER MANUFACTURING COMPANY,36,financial_2495,BUTLER MANUFACTURING CO
CITIZENS COMMERCE NATIONAL BANK,36,financial_2982,CITIZENS COMMERCE NATIONAL BANK
"DAIWA BANK, LIMITED, LOS ANGELES AGENCY, THE, A BANK OF JAPAN",36,financial_329,DAIWA BANK
"DBS BANK LTD., BANGALORE BRANCH",36,financial_3410,DBS BANK LTD BANGALORE BRANCH
"DIGITAL NETWORKS NORTH AMERICA, INC.",36,financial_355,DIGITAL NETWORKS NORTH AMERICA
"FIRST NATIONAL BANK OF CHICAGO, AS COLLALTERAL AGENT, THE",36,financial_431,FIRST NATIONAL BANK OF CHICAGO
"FIRST UNION NATIONAL BANK, AS ADMINISTRATIVE AGEN",36,financial_437,FIRST UNION NATIONAL BANK
"FIRST UNION NATIONAL BANK, AS COLLATERAL AGENT",36,financial_437,FIRST UNION NATIONAL BANK
FLEET CAPITAL CORP.,36,financial_442,FLEET CAPITAL CORP
"GMP INVESTOR, LLC",36,financial_498,GMP INVESTOR LLC
"HARRIS N.A., AS COLLATERAL AGENT",36,financial_526,HARRIS & SAVINGS BANK
"HARRIS TRUST AND SAVINGS BANK, AS ADMINISTRATIVE AGENT",36,financial_526,HARRIS & SAVINGS BANK
"HEALTHCARE ROYALTY PARTNERS II, L.P., AS LENDER",36,financial_538,HEALTHCARE ROYALTY PARTNERS II
HELIX (PEI) INC.,36,financial_540,HELIX PEI
"HITACHI CHEMICAL CO., LTD.",36,financial_4219,HITACHI CHEMICAL CO LTD
"INFIGEN, INC.",36,financial_4333,INFIGEN INC
"MILFAM II, L.P.",36,financial_719,MILFAM II
"MORGAN STANLEY & CO. INCORPORATED, AS SENIOR COLLATERAL AGENT",36,financial_731,MORGAN STANLEY SENIOR FUNDING
"PERCEPTIVE CREDIT HOLDINGS IV, LP, AS ADMINISTRATIVE AGENT",36,financial_825,PERCEPTIVE CREDIT HOLDINGS II
"PMSV CORPORATION, LLC",36,financial_5495,PMSV CORP LLC
REGENMACHER LTD.,36,financial_5090,REGENMACHER LTD
SCAN COIN INDUSTRIES AB,36,financial_1634,SCAN COIN INDUSTRIES AB
"SECURITY PACIFIC BUSINESS CREDIT INC., A CORP OF DE",36,financial_929,SECURITY PACIFIC NATIONAL BANK
"SUN FLUID ROUTING FINANCE, LLC",36,financial_2101,SUN FLUID ROUTING FINANCE LLC
TURBODYNE TECHNOLOGIES INC.,36,financial_2612,TURBODYNE TECHNOLOGIES INC
"UBS AG STAMFORD BRANCH, AS AGENT",36,financial_1062,UBS STAMFORD
VERTICAL VENTURES,36,financial_2878,VERTICAL VENTURES
"WARBURG PINCUS PRIVATE EQUITY VIII, L.P.",36,financial_2952,WARBURG PINCUS PRIVATE EQUITY VIII LP
"WELLS FARGO BANK, NATIONAL ASSOCIATION - AS TRUSTEE AND COLLATERAL AGENT",36,financial_1103,WELLS FARGO BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS ASSIGNEE",36,financial_1103,WELLS FARGO BANK NA
"WELLS FARGO CAPITAL FINANCE, LLC (F/K/A WELLS FARGO FOOTHILL, LLC), AS AGENT",36,financial_1103,WELLS FARGO BANK NA
"XMARK FUND, L.P.",36,financial_1127,XMARK FUND
"ZLP MASTER TECHNOLOGY FUND, LTD",36,financial_3304,ZLP MASTER TECHNOLOGY FUND LTD
ANTARES CAPITAL CORPORATION,35,financial_55,ANTARES CAPITAL
"BANK AMERICA VENTURES, AS COLLATERAL AGENT",35,financial_43,BANK OF AMERICA NA
BISHOPSGATE HOLDINGS CORPORATION,35,financial_2287,BISHOPSGATE HOLDINGS CORP
"BURDALE CAPITAL FINANCE, INC.",35,financial_2476,BURDALE CAPITAL FINANCE INC
CANON INC.,35,financial_199,CANON
"CIT GROUP/BUSINESS CREDIT, INC.",35,financial_244,CIT GROUP BUSINESS CREDIT
"CREDIT SUISSE AG, AS FIRST LIEN ADMINISTRATIVE AGENT",35,financial_309,CREDIT SUISSE
"CREDIT SUISSE AG, AS SECOND LIEN ADMINISTRATIVE AGENT",35,financial_309,CREDIT SUISSE
DELL PRODUCTS L.P.,35,financial_3431,DELL PRODUCTS LP
DEUTSCHE BANK,35,financial_350,DEUTSCHE BANK
DRAKA HOLDING N.V.,35,financial_3538,DRAKA HOLDING NV
"EASTON HUNT CAPITAL PARTNERS, L.P.",35,financial_376,EASTON HUNT CAPITAL PARTNERS
"ESCALATE CAPITAL I, L.P., A DELAWARE LIMITED PARTNERSHIP",35,financial_5588,ESCALATE CAPITAL I LP A DELAWARE LTD PARTNERSHIP
"GCG INVESTORS V, L.P., AS AGENT",35,financial_472,GCG INVESTORS V
"GMAC COMMERCIAL FINANCE LLC, AS AGENT",35,financial_496,GMAC COMMERCIAL FINANCE LLC
"GORDON BROTHERS FINANCE COMPANY, AS AGENT",35,financial_505,GORDON BROTHERS FINANCE CO
KALLINA CORPORATION,35,financial_4494,KALLINA CORP
"LBC CREDIT PARTNERS III, L.P., AS AGENT",35,financial_642,LBC CREDIT PARTNERS III
MERRILL LYNCH BANK USA,35,financial_702,MERRILL LYNCH CAPITAL
"NEWSTONE CAPITAL PARTNERS, LLC",35,financial_5162,NEWSTONE CAPITAL PARTNERS LLC
"PEGASUS PARTNERS II, L.P.",35,financial_5404,PEGASUS PARTNERS II LP
"WELLS FARGO BANK, N.A., AS AGENT",35,financial_1103,WELLS FARGO BANK NA
"WESTERN DIGITAL CAPITAL, INC.",35,financial_3087,WESTERN DIGITAL CAPITAL INC
ABBOTT VASCULAR INC.,34,financial_1167,ABBOTT VASCULAR INC
BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION D/B/A SEAFIRST BANK,34,financial_43,BANK OF AMERICA NA
"BANK OF THE WEST, A CALIFORNIA BANKING CORPORATION",34,financial_112,BANK OF THE WEST
BLUE TORCH FINANCE LLC,34,financial_152,BLUE TORCH FINANCE LLC
"CAPITAL ONE, NATIONAL ASSOCIATION",34,financial_204,CAPITAL ONE NA
"DDJ CAPITAL MANAGEMENT, LLC",34,financial_337,DDJ CAPITAL MANAGEMENT LLC
ENABLE CAPITAL MANAGEMENT LLC,34,financial_389,ENABLE CAPITAL MANAGEMENT LLC
HORIZON TECHNOLOGY FUNDING COMPANY LLC,34,financial_556,HORIZON TECHNOLOGY FUNDING CO LLC
MMC/GATX PARTNERSHIP NO. I AND TRANSAMERICA CREDIT CORPORATION,34,financial_725,MMC GATX PARTNERSHIP NO 1
NATIONSBANK EUROPE LIMITED,34,financial_5104,NATIONSBANK EUROPE LTD
NEVADA STATE BANK,34,financial_5144,NEVADA STATE BANK
SHAWMUT CAPITAL CORPORATION,34,financial_939,SHAWMUT CAPITAL CORP
"SUN PLUMBING V FINANCE, LLC",34,financial_2104,SUN PLUMBING V FINANCE LLC
"TICOR TITLE INSURANCE COMPANY OF CALIFORNIA, A CA. CORP.",34,financial_2467,TICOR TITLE INSURANCE CO OF CALIFORNIA A CA CORP
TRANSAMERICA BUSINESS CREDIT CORP.,34,financial_1045,TRANSAMERICA BUSINESS CREDIT CORP
"VENTURE LENDING & LEASING III, INC.",34,financial_1061,VENTURE LENDING & LEASING IV
VIGNETTE LLC,34,financial_2888,VIGNETTE LLC
WILMINGTON TRUST NATIONAL ASSOCIATION,34,financial_1111,WILMINGTON NA
"ACCESSLINE TECHNOLOGIES, INC.",33,financial_1213,ACCESSLINE TECHNOLOGIES INC
AMERICAN CYANAMID COMPANY A CORPORATION OF ME,33,financial_46,AMERICAN CYANAMID CO A CORP OF ME
"AMERICAN RAILCAR INDUSTRIES, INC.",33,financial_1468,AMERICAN RAILCAR INDUSTRIES INC
"ARES CAPITAL CORPORATION, AS AGENT",33,financial_68,ARES CAPITAL CORP
"BANK ONE, MILWAUKEE, NA",33,financial_113,BANK ONE NA
"BANKERS TRUST COMPANY, A NEW YORK STATE BANKING CORPORATION",33,financial_120,BANKERS
"BARCLAYS BANK PLC, AS THE AGENT",33,financial_126,BARCLAYS BANK
"BURLINGTON INDUSTRIES, INC.",33,financial_179,BURLINGTON INDUSTRIES
"CHURCHILL AGENCY SERVICES LLC, AS COLLATERAL AGENT",33,financial_240,CHURCHILL AGENCY SERVICES LLC
"CONNECTICUT NATONAL BANK, THE",33,financial_285,CONNECTICUT NATIONAL BANK THEAS
"CRESCENT COVE CAPITAL II, LP",33,financial_3315,CRESCENT COVE CAPITAL II LP
CRESTAR BANK,33,financial_3317,CRESTAR BANK
CYTEC INDUSTRIES INC.,33,financial_323,CYTEC INDUSTRIES
"DURUS LIFE SCIENCES MASTER FUND, LTD., A CAYMEN ISLANDS EXEMPTED COMPANY",33,financial_3562,DURUS LIFE SCIENCES MASTER FUND LTD A CAYMEN ISLANDS EXEMPTED CO
"ELLIOTT ASSOCIATES, L.P.",33,financial_3637,ELLIOTT ASSOCIATES LP
"FIRST NATIONAL BANK OF BOSTON, THE, A NATIONAL BANKING ASSOCIATION",33,financial_431,FIRST NATIONAL BANK OF CHICAGO
"FOOTHILL CAPITAL CORPORATION, A CORP. OF CA",33,financial_453,FOOTHILL CAPITAL CORP
"GMAC COMMERCIAL FINANCE, LLC",33,financial_496,GMAC COMMERCIAL FINANCE LLC
"HANSEN MEDICAL, INC.",33,financial_4122,HANSEN MEDICAL INC
HARRIS TRUST COMPANY OF NEW YORK,33,financial_4146,HARRIS TRUST CO OF NEW YORK
"HSBC CORPORATE TRUSTEE COMPANY (UK) LIMITED, AS SECURITY AGENT",33,financial_562,HSBC CORPORATE CO UK SECURITY AGENT
"HUNTINGTON NATIONAL BANK, THE",33,financial_566,HUNTINGTON NATIONAL BANK
"NOMURA CORPORATE FUNDING AMERICAS, LLC",33,financial_768,NOMURA CORPORATE FUNDING LLC
"NORWEST BANK MINNESOTA, NATIONAL ASSOCATION",33,financial_778,NORWEST BANK MINNESOTA NA
"U.S. HEALTHCARE I, LLC",33,financial_539,US HEALTHCARE I LLC
"WESTGATE INTERNATIONAL, L.P.",33,financial_3091,WESTGATE INTERNATIONAL LP
AGILITY CAPITAL LLC,32,financial_21,AGILITY CAPITAL LLC
"ALCON RESEARCH, LLC",32,financial_1339,ALCON RESEARCH LLC
"BANK OF AMERICA, N.A, AS AGENT",32,financial_43,BANK OF AMERICA NA
"CITIZENS BANK, N.A., AS AGENT",32,financial_254,CITIZENS BANK NA
"CITIZENS BANK, N.A., AS SECOND LIEN AGENT",32,financial_254,CITIZENS BANK NA
"COOPRERATIVE CENTRALE RAIFFEISENBOERENLEENBANK B.A., ""RABOBANK NEDERLAND"", NEW YORK BRANCH",32,financial_3166,COOPRERATIVE CENTRALE RAIFFEISENBOERENLEENBANK B A RABOBANK NEDERLAND NEW YORK BRANCH
"DEUTSCHE BANK TRUST COMPANY, AS NOTES COLLATERAL AGENT",32,financial_350,DEUTSCHE BANK
"FIDELITY UNION TRUST COMPANY, TRUSTEE",32,financial_410,FIDELITY UNION BANK
"GALEN PARTNERS III, L.P.",32,financial_3911,GALEN PARTNERS III LP
"GILL FAMILY CAPITAL MANAGEMENT, INC.",32,financial_485,GILL FAMILY CAPITAL MANAGEMENT
HARRIS CORPORATION,32,financial_525,HARRIS CORP
HOME LIFE FINANCIAL ASSURANCE CORPORATION,32,financial_4235,HOME LIFE INSURANCE CO
HOME LIFE INSURANCE COMPANY,32,financial_4235,HOME LIFE INSURANCE CO
"HYUNDAI ELECTRONICS AMERICA, A CA CORP.",32,financial_567,HYUNDAI ELECTRONICS AMERICA A CA CORP
"LIFE SCIENCES OPPORTUNITIES FUND (INSTITUTIONAL) II, L.P.",32,financial_648,LIFE SCIENCES OPPORTUNITIES FUND II
"LIFE SCIENCES OPPORTUNITIES FUND II, L.P.",32,financial_648,LIFE SCIENCES OPPORTUNITIES FUND II
"MONROE CAPITAL MANAGEMENT ADVISORS LLC,",32,financial_729,MONROE CAPITAL MANAGEMENT ADVISORS LLC
"NATIONAL WESTMINSTER BANK USA, A NATIONAL BANKING ASSOCIATION",32,financial_747,NATIONAL WESTMINSTER BANK USA
"NDS HOLDCO, INC.",32,financial_5121,NDS HOLDCO INC
"PRINCIPAL MUTUAL LIFE INSURANCE COMPANY IN REHABILITATION, SUCCESSOR TO THE MUTUAL BENEFIT LIFE INSURANCE COMPANY",32,financial_1195,PRINCIPAL MUTUAL LIFE INSURANCE CO IN REHABILITATION SUCCESSOR TO THE MUTUAL BENEFIT LIFE INSURANCE CO
QUALCOMM INCORPORATED,32,financial_872,QUALCOMM
"ROADMAP GEO LP III, AS ADMINISTRATIVE AGENT",32,financial_896,ROADMAP GEO III
SCOTT LAKE HOLDINGS INC.,32,financial_1678,SCOTT LAKE HOLDINGS INC
"STATE OF WISCONSIN INVESTMENT BOARD, THE",32,financial_745,STATE OF WISCONSIN INVESTMENT BOARD
STERLING NATIONAL BANK,32,financial_2029,STERLING NATIONAL BANK
TORONTO DOMINION BANK,32,financial_1038,DOMINION TEXAS LLC
"U.S. HEALTHCARE I, L.L.C.",32,financial_539,US HEALTHCARE I LLC
"WELLS FARGO BANK, NATIONAL ASSOICATION, AS ADMINISTRATIVE AGENT",32,financial_1103,WELLS FARGO BANK NA
ACP SI ACQUISITION SUB CORP.,31,financial_1231,ACP SI ACQUISITION SUB CORP
APIX INTERNATIONAL LIMITED,31,financial_1574,APIX INTERNATIONAL LTD
BANCO SANTANDER PUERTO RICO,31,financial_1815,BANCO SANTANDER PUERTO RICO
"BANK ONE, MICHIGAN",31,financial_113,BANK ONE NA
"CAPITAL ONE, NATIONAL ASSOCIATION, AS AGENT",31,financial_204,CAPITAL ONE NA
"CHASE MANHATTAN BANK, N.A., THE A NATIONAL BANKING ASSOCIATION OF THE U.S.",31,financial_231,CHASE MANHATTAN BANK
"CHEMICAL BANK, AS AGENT",31,financial_234,CHEMICAL BANK
"CITIZENS BANK OF PENNSYLVANIA, AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES",31,financial_254,CITIZENS BANK NA
DEUTSCHE BANK AG LONDON,31,financial_350,DEUTSCHE BANK
EXPORT-IMPORT BANK OF THE UNITED STATES,31,financial_3734,EXPORT-IMPORT BANK OF THE US
"GCI CAPITAL MARKETS LLC, AS ADMINISTRATIVE AGENT",31,financial_473,GCI CAPITAL MARKETS LLC
"GENERAL ELECTRIC CAPITAL CORPORATION, A CORP. OF NY",31,financial_482,GENERAL ELECTRIC CAPITAL CORP
GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO,31,financial_4038,GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO
LSI LOGIC CORPORATION,31,financial_4740,LSI LOGIC CORP
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY A MASSACHUSETTS CORP.,31,financial_684,MASSACHUSETTS MUTUAL LIFE INSURANCE CO
MASSMUTUAL CORPORATE INVESTORS A MASSACHUSETTS BUSINESS TRUST,31,financial_5674,MASSMUTUAL CORPORATE INVESTORS A MASSACHUSETTS BUSINESS TRUST
MASSMUTUAL PARTICIPATION INVESTORS A MASSACHUSETTS BUSINESS TRUST,31,financial_5685,MASSMUTUAL PARTICIPATION INVESTORS A MASSACHUSETTS BUSINESS TRUST
"MORGENTHALER VENTURE PARTNERS II, A OHIO LIMITED PARTNERSHIP",31,financial_5036,MORGENTHALER VENTURE PARTNERS II A OHIO LTD PARTNERSHIP
OVERSEAS PRIVATE INVESTMENT CORPORATION,31,financial_5322,OVERSEAS PRIVATE INVESTMENT CORP
SANDISK CORPORATION,31,financial_1588,SANDISK CORP
SERMATECH INTERNATIONAL CANADA CORP.,31,financial_936,SERMATECH INTERNATIONAL
"SERMATECH INTERNATIONAL CANADA GP, LLC",31,financial_936,SERMATECH INTERNATIONAL
SERMATECH INTERNATIONAL HOLDINGS CORP.,31,financial_936,SERMATECH INTERNATIONAL
SERMATECH INTERNATIONAL INCORPORATED,31,financial_936,SERMATECH INTERNATIONAL
"TANG CAPITAL PARTNERS, LP",31,financial_1015,TANG CAPITAL PARTNERS
VENTURE BANKING GROUP,31,financial_1060,VENTURE BANKING GROUP
"WILMINGTON TRUST COMPANY, AS COLLATERAL AGENT FOR THE CLASS B SECURED PARTIES",31,financial_1111,WILMINGTON NA
"AB PRIVATE CREDIT INVESTORS LLC, AS COLLATERAL AGENT",30,financial_1164,AB PRIVATE CREDIT INVESTORS LLC
AETNA LIFE INSURANCE COMPANY,30,financial_1293,AETNA LIFE INSURANCE CO
"ALTER DOMUS (US) LLC, AS AGENT",30,financial_38,ALTER DOMUS US LLC
"BANC OF CALIFORNIA, N.A., AS ADMINISTRATIVE AGENT",30,financial_1803,BANC OF CALIFORNIA NA
"BARCLAYS BANK PLC, COLLATERAL AGENT",30,financial_126,BARCLAYS BANK
"COBANK, ACB, AS ADMINISTRATIVE AGENT",30,financial_265,COBANK ACB
"CREDIT SUISSE AG, AS COLLATERAL AGENT UNDER FIRST LIEN CREDIT AGREEMENT",30,financial_309,CREDIT SUISSE
"CREDIT SUISSE AG, AS COLLATERAL AGENT UNDER SECOND LIEN CREDIT AGREEMENT",30,financial_309,CREDIT SUISSE
CREDIT SUISSE FIRST BOSTON TORONTO BRANON,30,financial_309,CREDIT SUISSE
"DEUTSCHE FINANCIAL SERVICES CORPORATION, AS AGENT",30,financial_351,DEUTSCHE FINANCIAL SERVICES CORP
"FIRST COMMUNITY FINANCIAL, A DIVISION OF PACIFIC WESTERN BANK",30,financial_3806,FIRST COMMUNITY FINANCIAL A DIVISION OF PACIFIC WESTERN BANK
"GENERAL DATACOMM INDUSTRIES, INC.",30,financial_481,GENERAL DATACOMM INDUSTRIES
"GENERAL ELECTRIC CAPITAL CORPORATION, AS SECOND LIEN COLLATERAL AGENT",30,financial_482,GENERAL ELECTRIC CAPITAL CORP
GLADSTONE INVESTMENT CORPORATION,30,financial_3994,GLADSTONE INVESTMENT CORP
"GOLD HILL VENTURE LENDING 03, LP",30,financial_499,GOLD HILL VENTURE LENDING 03
"HARRIS TRUST AND SAVINGS BANK, AN IL BANKING CORP.",30,financial_526,HARRIS & SAVINGS BANK
"HUDSON BAY FUND LP, AS COLLATERAL AGENT",30,financial_564,HUDSON BAY MASTER FUND
"ING CAPITAL LLC, AS COLLATERAL AGENT",30,financial_575,ING CAPITAL LLC
INNOVIVA STRATEGIC OPPORTUNITIES LLC,30,financial_4348,INNOVIVA STRATEGIC OPPORTUNITIES LLC
JOHNSON & JOHNSON,30,financial_604,JOHNSON & JOHNSON INNOVATION - JJDC
"LEVINE LEICHTMAN CAPITAL PARTNERS II, L.P.",30,financial_645,LEVINE LEICHTMAN CAPITAL PARTNERS II
MIDCAP FINANCIAL LLC,30,financial_715,MIDCAP FINANCIAL
"MIDCAP FUNDING X TRUST (AS SUCCESSOR BY ASSIGNMENT FROM MIDCAP FUNDING IV TRUST, AS SUCCESSOR BY ASSIGNMENT FROM MIDCAP FINANCIAL TRUST)",30,financial_715,MIDCAP FINANCIAL
"MOTOROLA, INC.",30,financial_734,MOTOROLA
ORIX VENTURE FINANCE LLC,30,financial_804,ORIX GROWTH CAPITAL LLC
"RNS FLEX, LLC",30,financial_1443,RNS FLEX LLC
ROS ACQUISITION OFFSHORE LP,30,financial_898,ROS ACQUISITION OFFSHORE
"SANKATY CREDIT OPPORTUNITIES IV, L.P.",30,financial_1597,SANKATY CREDIT OPPORTUNITIES IV LP
"SIXTH STREET SPECIALTY LENDING, INC., AS ADMINISTRATIVE AGENT",30,financial_959,SIXTH STREET LENDING PARTNERS
"TECHNOLOGY LENDING PARTNERS, LLC",30,financial_5118,TECHNOLOGY LENDING PARTNERS LLC
"THE ROYAL BANK OF SCOTLAND PLC, AS SECURITY AGENT",30,financial_5759,ROYAL BANK OF SCOTLAND PLC
UBS LIMITED,30,financial_2700,UBS LTD
"UBS, AG ZURICH",30,financial_1062,UBS STAMFORD
"UMB BANK, N.A., AS COLLATERAL TRUSTEE",30,financial_1063,UMB BANK NA
"WACHOVIA BANK, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT AND CONTROL AGENT",30,financial_1091,WACHOVIA BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, A NATIONAL BANKING ASSOCIATION",30,financial_1103,WELLS FARGO BANK NA
WILMINGTON TRUST FSB (AS COLLATERAL AGENT),30,financial_1111,WILMINGTON NA
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",29,financial_43,BANK OF AMERICA NA
"BELL, CHRISTY W.",29,financial_137,BELL CHRISTY W
"CIT LENDING SERVICES CORPORATION, AS COLLATERAL AGENT",29,financial_247,CIT LENDING SERVICES CORP
"CONGRESS FINANCIAL CORPORATION, AS AGENT",29,financial_284,CONGRESS FINANCIAL CORP
"CRG SERVICING LLC, AS AGENT",29,financial_315,CRG SERVICING LLC
"EAST RIVER CAPITAL, LLC",29,financial_373,EAST RIVER CAPITAL LLC
"FIRSTAR BANK OF MINNESOTA, N.A.",29,financial_440,FIRSTAR BANK NA
"GATX VENTURES, INC., AS AGENT",29,financial_471,GATX VENTURES
GENZYME CORPORATION,29,financial_3972,GENZYME CORP
"GLENN, PAUL F.",29,financial_493,GLENN PAUL F
"HIRSCHMAN, ORIN",29,financial_4217,HIRSCHMAN ORIN
IBJ SCHRODER BANK & TRUST COMPANY,29,financial_5625,IBJ SCHRODER BANK & TRUST CO
"ING (U.S.) CAPITAL LLC, AS COLLATERAL",29,financial_575,ING CAPITAL LLC
"J.P. MORGAN DELAWARE, AS COLLATERAL AGENT",29,financial_605,JP MORGAN CHASE BANK NA
"KEVIN KIMBERLIN PARTNERS, L.P.",29,financial_4524,KEVIN KIMBERLIN PARTNERS LP
"KFT TRUST, C/O KHOSLA VENTURES",29,financial_4529,KFT VINOD KHOSLA FIRST LIENAGENT
"LC CAPITAL MASTER FUND, LTD.",29,financial_643,LC CAPITAL MASTER FUND
"MIDCAP FINANCIAL SBIC, LP",29,financial_715,MIDCAP FINANCIAL
